local-authority,website,ons-code
local-authority-eng:ADU,https://www.adur-worthing.gov.uk,E07000223
local-authority-eng:ALL,https://www.allerdale.gov.uk,E07000026
local-authority-eng:AMB,https://www.ambervalley.gov.uk,E07000032
local-authority-eng:ARU,https://www.arun.gov.uk,E07000224
local-authority-eng:ASH,https://www.ashfield-dc.gov.uk,E07000170
local-authority-eng:ASF,https://www.ashford.gov.uk,E07000105
local-authority-eng:AYL,https://www.aylesburyvaledc.gov.uk,E08000016
local-authority-eng:BAB,https://www.babergh.gov.uk,E07000200
local-authority-eng:BNS,https://www.barnsley.gov.uk,E08000016
local-authority-eng:BAR,https://www.barrowbc.gov.uk,E07000027
local-authority-eng:BAI,https://www.basildon.gov.uk,E07000066
local-authority-eng:BAN,https://www.basingstoke.gov.uk,E07000084
local-authority-eng:BAE,https://www.bassetlaw.gov.uk,E07000171
local-authority-eng:BAS,https://www.bathnes.gov.uk,E06000022
local-authority-eng:BDF,https://www.bedford.gov.uk,E06000055
local-authority-eng:BIR,https://www.birmingham.gov.uk,E08000025
local-authority-eng:BLA,https://www.blaby.gov.uk,E07000129
local-authority-eng:BBD,https://www.blackburn.gov.uk,E06000008
local-authority-eng:BPL,https://www.blackpool.gov.uk,E06000009
local-authority-eng:BOS,https://www.bolsover.gov.uk,E07000033
local-authority-eng:BOL,https://www.bolton.gov.uk,E08000001
local-authority-eng:BRX,https://www.broxbourne.gov.uk,E07000095
local-authority-eng:POL,https://www.boroughofpoole.com,E06000029
local-authority-eng:BOT,https://www.boston.gov.uk,E07000136
local-authority-eng:BMH,https://www.bournemouth.gov.uk,E06000028
local-authority-eng:BRC,https://www.bracknell-forest.gov.uk,E06000036
local-authority-eng:BRD,https://www.bradford.gov.uk,E08000032
local-authority-eng:BRA,https://www.braintree.gov.uk,E07000067
local-authority-eng:BRE,https://www.breckland.gov.uk,E07000143
local-authority-eng:BRW,https://www.brentwood.gov.uk,E07000068
local-authority-eng:BNH,https://www.brighton-hove.gov.uk,E06000043
local-authority-eng:BST,https://www.bristol.gov.uk,E06000023
local-authority-eng:BRO,https://www.broadland.gov.uk,E07000144
local-authority-eng:BRM,https://www.bromsgrove.gov.uk,E07000234
local-authority-eng:BRT,https://www.broxtowe.gov.uk,E07000172
local-authority-eng:BKM,https://www.buckscc.gov.uk,E07000006
local-authority-eng:BUN,https://www.burnley.gov.uk,E07000117
local-authority-eng:BUR,https://www.bury.gov.uk,E08000002
local-authority-eng:CLD,https://www.calderdale.gov.uk,E08000033
local-authority-eng:CAB,https://www.cambridge.gov.uk,E07000008
local-authority-eng:CAM,https://www.cambridgeshire.gov.uk,E07000008
local-authority-eng:CAN,https://www.cannockchasedc.gov.uk,E07000192
local-authority-eng:CAT,https://www.canterbury.gov.uk,E07000106
local-authority-eng:CAR,https://www.carlisle.gov.uk,E07000028
local-authority-eng:CAS,https://www.castlepoint.gov.uk,E07000069
local-authority-eng:CBF,https://www.centralbedfordshire.gov.uk,E06000056
local-authority-eng:CHA,https://www.charnwood.gov.uk,E07000130
local-authority-eng:CHL,https://www.chelmsford.gov.uk,E07000070
local-authority-eng:CHT,https://www.cheltenham.gov.uk,E07000078
local-authority-eng:CHR,https://www.cherwell-dc.gov.uk,E07000177
local-authority-eng:CHE,https://www.cheshireeast.gov.uk,E06000049
local-authority-eng:CHW,https://www.cheshirewestandchester.gov.uk,E06000050
local-authority-eng:CHS,https://www.chesterfield.gov.uk,E07000034
local-authority-eng:CHI,https://www.chichester.gov.uk,E07000225
local-authority-eng:CHN,https://www.chiltern.gov.uk,E07000005
local-authority-eng:CHO,https://www.chorley.gov.uk,E07000118
local-authority-eng:CHC,https://www.dorsetforyou.com,E07000048
local-authority-eng:LIC,https://www.lincoln.gov.uk,E07000138
local-authority-eng:LND,https://www.cityoflondon.gov.uk,E09000001
local-authority-eng:YOR,https://www.york.gov.uk,E06000014
local-authority-eng:COL,https://www.colchester.gov.uk,E07000071
local-authority-eng:COP,https://www.copeland.gov.uk,E07000029
local-authority-eng:COR,https://www.corby.gov.uk,E07000150
local-authority-eng:CON,https://www.cornwall.gov.uk,E06000052
local-authority-eng:COT,https://www.cotswold.gov.uk,E07000079
local-authority-eng:COV,https://www.coventry.gov.uk,E08000026
local-authority-eng:CRA,https://www.cravendc.gov.uk,E07000163
local-authority-eng:CRW,https://www.crawley.gov.uk,E07000226
local-authority-eng:CMA,https://www.cumbria.gov.uk,
local-authority-eng:DAC,https://www.dacorum.gov.uk,E07000096
local-authority-eng:DAL,https://www.darlington.gov.uk,E06000005
local-authority-eng:DAR,https://www.dartford.gov.uk,E07000107
local-authority-eng:DAV,https://www.daventrydc.gov.uk,E07000151
local-authority-eng:DER,https://www.derby.gov.uk,E06000015
local-authority-eng:DBY,https://www.derbyshire.gov.uk,E06000015
local-authority-eng:DEB,https://www.derbyshiredales.gov.uk,E07000035
local-authority-eng:DEV,https://www.devon.gov.uk,
local-authority-eng:DNC,https://www.doncaster.gov.uk,E08000017
local-authority-eng:DOR,https://www.dorsetforyou.com,
local-authority-eng:DOV,https://www.dover.gov.uk,E07000108
local-authority-eng:DUD,https://www.dudley.gov.uk,E08000027
local-authority-eng:DUR,https://www.durham.gov.uk,E06000047
local-authority-eng:ECA,https://www.eastcambs.gov.uk,E07000009
local-authority-eng:EDE,https://www.eastdevon.gov.uk,E07000040
local-authority-eng:EDO,https://www.dorsetforyou.com,E07000049
local-authority-eng:EHA,https://www.easthants.gov.uk,E07000085
local-authority-eng:EHE,https://www.eastherts.gov.uk,E07000242
local-authority-eng:ELI,https://www.e-lindsey.gov.uk,E07000137
local-authority-eng:ENO,https://www.east-northamptonshire.gov.uk,E07000152
local-authority-eng:ERY,https://www.eastriding.gov.uk,E06000011
local-authority-eng:EST,https://www.eaststaffsbc.gov.uk,E07000193
local-authority-eng:ESX,https://www.eastsussex.gov.uk,
local-authority-eng:EAS,https://www.eastbourne.gov.uk,E07000061
local-authority-eng:EAT,https://www.eastleigh.gov.uk,E07000086
local-authority-eng:EDN,https://www.eden.gov.uk,E07000030
local-authority-eng:ELM,https://www.elmbridge.gov.uk,E07000207
local-authority-eng:EPP,https://www.eppingforestdc.gov.uk,E07000072
local-authority-eng:EPS,https://www.epsom-ewell.gov.uk,E07000208
local-authority-eng:ERE,https://www.erewash.gov.uk,E07000036
local-authority-eng:ESS,https://www.essex.gov.uk,
local-authority-eng:EXE,https://www.exeter.gov.uk,E07000041
local-authority-eng:FAR,https://www.fareham.gov.uk,E07000087
local-authority-eng:FEN,https://www.fenland.gov.uk,E07000010
local-authority-eng:FOR,https://www.forest-heath.gov.uk,E07000204
local-authority-eng:FOE,https://www.fdean.gov.uk,E07000080
local-authority-eng:FYL,https://www.fylde.gov.uk,E07000119
local-authority-eng:GAT,https://www.gateshead.gov.uk,E08000037
local-authority-eng:GED,https://www.gedling.gov.uk,E07000173
local-authority-eng:GLO,https://www.gloucester.gov.uk,E07000081
local-authority-eng:GLS,https://www.gloucestershire.gov.uk,E07000081
local-authority-eng:GOS,https://www.gosport.gov.uk,E07000088
local-authority-eng:GRA,https://www.gravesham.gov.uk,E07000109
local-authority-eng:GRY,https://www.great-yarmouth.gov.uk,E07000145
local-authority-eng:GRT,https://www.guildford.gov.uk,E07000209
local-authority-eng:HAL,https://www.halton.gov.uk,E06000006
local-authority-eng:HAE,https://www.hambleton.gov.uk,E07000164
local-authority-eng:HAM,https://www.hants.gov.uk,
local-authority-eng:HAO,https://www.harborough.gov.uk,E07000131
local-authority-eng:HAR,https://www.harlow.gov.uk,E07000073
local-authority-eng:HAG,https://www.harrogate.gov.uk,E07000165
local-authority-eng:HAT,https://www.hart.gov.uk,E07000089
local-authority-eng:HPL,https://www.hartlepool.gov.uk,E06000001
local-authority-eng:HAS,https://www.hastings.gov.uk,E07000062
local-authority-eng:HAA,https://www.havant.gov.uk,E07000090
local-authority-eng:HEF,https://www.herefordshire.gov.uk,E06000019
local-authority-eng:HRT,https://www.hertsdirect.org/,
local-authority-eng:HER,https://www.hertsmere.gov.uk,E07000098
local-authority-eng:HIG,https://www.highpeak.gov.uk,E07000037
local-authority-eng:HIN,https://www.hinckley-bosworth.gov.uk,E07000132
local-authority-eng:HOR,https://www.horsham.gov.uk,E07000227
local-authority-eng:HUN,https://www.huntingdonshire.gov.uk,E07000011
local-authority-eng:HYN,https://www.hyndburnbc.gov.uk,E07000120
local-authority-eng:IPS,https://www.ipswich.gov.uk,E07000202
local-authority-eng:IOW,https://www.iwight.com,E06000046
local-authority-eng:KEN,https://www.kent.gov.uk,
local-authority-eng:KET,https://www.kettering.gov.uk,E07000153
local-authority-eng:KIN,https://www.west-norfolk.gov.uk,E07000146
local-authority-eng:KHL,https://www.hullcc.gov.uk,E06000010
local-authority-eng:KIR,https://www.kirklees.gov.uk,E08000034
local-authority-eng:KWL,https://www.knowsley.gov.uk,E08000011
local-authority-eng:LAN,https://www.lancashire.gov.uk,E07000121
local-authority-eng:LAC,https://www.lancaster.gov.uk,E07000121
local-authority-eng:LDS,https://www.leeds.gov.uk,E08000035
local-authority-eng:LCE,https://www.leicester.gov.uk,E06000016
local-authority-eng:LEC,https://www.leics.gov.uk,E06000016
local-authority-eng:LEE,https://www.lewes.gov.uk,E07000063
local-authority-eng:LIF,https://www.lichfielddc.gov.uk,E07000194
local-authority-eng:LIN,https://www.lincolnshire.gov.uk,
local-authority-eng:LIV,https://www.liverpool.gov.uk,E08000012
local-authority-eng:BDG,https://www.lbbd.gov.uk,E09000002
local-authority-eng:BNE,https://www.barnet.gov.uk,E09000003
local-authority-eng:BEX,https://www.bexley.gov.uk,E09000004
local-authority-eng:BEN,https://www.brent.gov.uk,E09000005
local-authority-eng:BRY,https://www.bromley.gov.uk,E09000006
local-authority-eng:CMD,https://www.camden.gov.uk,E09000007
local-authority-eng:CRY,https://www.croydon.gov.uk,E09000008
local-authority-eng:EAL,https://www.ealing.gov.uk,E09000009
local-authority-eng:ENF,https://www.enfield.gov.uk,E09000010
local-authority-eng:HCK,https://www.hackney.gov.uk,E09000012
local-authority-eng:HMF,https://www.lbhf.gov.uk,E09000013
local-authority-eng:HRY,https://www.haringey.gov.uk,E09000014
local-authority-eng:HRW,https://www.harrow.gov.uk,E09000015
local-authority-eng:HAV,https://www.havering.gov.uk,E09000016
local-authority-eng:HIL,https://www.hillingdon.gov.uk,E09000017
local-authority-eng:HNS,https://www.hounslow.gov.uk,E09000018
local-authority-eng:ISL,https://www.islington.gov.uk,E09000019
local-authority-eng:LBH,https://www.lambeth.gov.uk,E09000022
local-authority-eng:LEW,https://www.lewisham.gov.uk,E09000023
local-authority-eng:MRT,https://www.merton.gov.uk,E09000024
local-authority-eng:NWM,https://www.newham.gov.uk,E09000025
local-authority-eng:RDB,https://www.redbridge.gov.uk,E09000026
local-authority-eng:RIC,https://www.richmond.gov.uk,E09000027
local-authority-eng:SWK,https://www.southwark.gov.uk,E09000028
local-authority-eng:STN,https://www.sutton.gov.uk,E09000029
local-authority-eng:TWH,https://www.towerhamlets.gov.uk,E09000030
local-authority-eng:WFT,https://www.walthamforest.gov.uk,E09000031
local-authority-eng:WND,https://www.wandsworth.gov.uk,E09000032
local-authority-eng:LUT,https://www.luton.gov.uk,E06000032
local-authority-eng:MAI,https://www.maidstone.gov.uk,E07000110
local-authority-eng:MAL,https://www.maldon.gov.uk,E07000074
local-authority-eng:MAV,https://www.malvernhills.gov.uk,E07000235
local-authority-eng:MAN,https://www.manchester.gov.uk,E08000003
local-authority-eng:MAS,https://www.mansfield.gov.uk,E07000174
local-authority-eng:MDW,https://www.medway.gov.uk,E06000035
local-authority-eng:MEL,https://www.melton.gov.uk,E07000133
local-authority-eng:MEN,https://www.mendip.gov.uk,E07000187
local-authority-eng:MDE,https://www.middevon.gov.uk,E07000042
local-authority-eng:MSU,https://www.midsuffolk.gov.uk,E07000200
local-authority-eng:MSS,https://www.midsussex.gov.uk,E07000228
local-authority-eng:MDB,https://www.middlesbrough.gov.uk,E06000002
local-authority-eng:HMF,https://www.milton-keynes.gov.uk,E09000013
local-authority-eng:MOL,https://www.molevalley.gov.uk,E07000210
local-authority-eng:NEW,https://www.newforestdc.gov.uk,E07000091
local-authority-eng:NEA,https://www.newark-sherwooddc.gov.uk,E07000175
local-authority-eng:NEC,https://www.newcastle-staffs.gov.uk,E07000195
local-authority-eng:NET,https://www.newcastle.gov.uk,E08000021
local-authority-eng:NFK,https://www.norfolk.gov.uk,
local-authority-eng:NDE	,https://www.northdevon.gov.uk,
local-authority-eng:NDO,https://www.dorsetforyou.com,
local-authority-eng:NED,https://www.ne-derbyshire.gov.uk,E07000038
local-authority-eng:NEL,https://www.nelincs.gov.uk,E06000012
local-authority-eng:NHE,https://www.north-herts.gov.uk,
local-authority-eng:NKE,https://www.n-kesteven.gov.uk,E07000139
local-authority-eng:NLN,https://www.northlincs.gov.uk,E06000013
local-authority-eng:NNO,https://www.northnorfolk.org/,
local-authority-eng:NSM,https://www.n-somerset.gov.uk,E06000024
local-authority-eng:NTY,https://www.northtyneside.gov.uk,E08000022
local-authority-eng:NWA,https://www.northwarks.gov.uk,E07000218
local-authority-eng:NWL,https://www.nwleics.gov.uk,E07000134
local-authority-eng:NYK,https://www.northyorks.gov.uk,
local-authority-eng:NOR,https://www.northampton.gov.uk,E07000154
local-authority-eng:NTH,https://www.northamptonshire.gov.uk,
local-authority-eng:NBL,https://www.northumberland.gov.uk,E06000057
local-authority-eng:NOW,https://www.norwich.gov.uk,E07000148
local-authority-eng:NGM,https://www.nottinghamcity.gov.uk,E06000018
local-authority-eng:NTT,https://www.nottinghamshire.gov.uk,
local-authority-eng:NUN,https://www.nuneatonandbedworth.gov.uk,E07000219
local-authority-eng:OAD,https://oadby-wigston.gov.uk,E07000135
local-authority-eng:OLD,https://www.oldham.gov.uk,E08000004
local-authority-eng:OXO,https://www.oxford.gov.uk,E07000178
local-authority-eng:OXF,https://www.oxfordshire.gov.uk,
local-authority-eng:PEN,https://www.pendle.gov.uk,E07000122
local-authority-eng:PTE,https://www.peterborough.gov.uk,E06000031
local-authority-eng:PLY,https://www.plymouth.gov.uk,E06000026
local-authority-eng:POR,https://www.portsmouth.gov.uk,E06000044
local-authority-eng:PRE,https://www.preston.gov.uk,E07000123
local-authority-eng:PUR,https://www.dorsetforyou.com,E07000051
local-authority-eng:RDG,https://beta.reading.gov.uk,E06000038
local-authority-eng:RCC,https://www.redcar-cleveland.gov.uk,E06000003
local-authority-eng:RED,https://www.redditchbc.gov.uk,E07000236
local-authority-eng:REI,https://www.reigate-banstead.gov.uk,E07000211
local-authority-eng:RIB,https://www.ribblevalley.gov.uk,E07000124
local-authority-eng:RIH,https://richmondshire.gov.uk,E07000166
local-authority-eng:RCH,https://www.rochdale.gov.uk,E08000005
local-authority-eng:ROC,https://www.rochford.gov.uk,E07000075
local-authority-eng:ROS,https://www.rossendale.gov.uk,E07000125
local-authority-eng:ROH,https://www.rother.gov.uk,E07000064
local-authority-eng:ROT,https://www.rotherham.gov.uk,E08000018
local-authority-eng:GRE,https://www.royalgreenwich.gov.uk,E09000011
local-authority-eng:KEC,https://www.rbkc.gov.uk,E09000020
local-authority-eng:KTT,https://www.kingston.gov.uk,E09000021
local-authority-eng:WNM,https://www.rbwm.gov.uk,E06000040
local-authority-eng:RUG,https://www.rugby.gov.uk,E07000220
local-authority-eng:RUN,https://www.runnymede.gov.uk,E07000212
local-authority-eng:RUS,https://www.rushcliffe.gov.uk,E07000176
local-authority-eng:RUH,https://www.rushmoor.gov.uk,E07000092
local-authority-eng:RUT,https://www.rutland.gov.uk,E06000017
local-authority-eng:RYE,https://www.ryedale.gov.uk,E07000167
local-authority-eng:SLF,https://www.salford.gov.uk,E08000006
local-authority-eng:SAW,https://www.sandwell.gov.uk,E08000028
local-authority-eng:SCE,https://www.scarborough.gov.uk,E07000168
local-authority-eng:SEG,https://www.sedgemoor.gov.uk,E07000188
local-authority-eng:SFT,https://www.sefton.gov.uk,E08000014
local-authority-eng:SEL,https://www.selby.gov.uk,E07000169
local-authority-eng:SEV,https://www.sevenoaks.gov.uk,E07000111
local-authority-eng:SHF,https://www.sheffield.gov.uk,E08000019
local-authority-eng:SHE,https://www.shepway.gov.uk,
local-authority-eng:SHR,https://www.shropshire.gov.uk,E06000051
local-authority-eng:SLG,https://www.slough.gov.uk,E06000039
local-authority-eng:SOL,https://www.solihull.gov.uk,E08000029
local-authority-eng:SOM,https://www.somerset.gov.uk,
local-authority-eng:SBU,https://www.southbucks.gov.uk,E07000006
local-authority-eng:SCA,https://www.scambs.gov.uk,E07000012
local-authority-eng:SDE,https://www.south-derbys.gov.uk,E07000039
local-authority-eng:SGC,https://www.southglos.gov.uk,E06000025
local-authority-eng:SHA,https://www.southhams.gov.uk,E07000044
local-authority-eng:SHO,https://www.sholland.gov.uk,E07000140
local-authority-eng:SKE,https://www.southkesteven.gov.uk,E07000141
local-authority-eng:SLA,https://www.southlakeland.gov.uk,E07000031
local-authority-eng:SNO,https://www.south-norfolk.gov.uk,E07000149
local-authority-eng:SNR,https://www.southnorthants.gov.uk,E07000155
local-authority-eng:SOX,https://www.southoxon.gov.uk,E07000179
local-authority-eng:SRI,https://www.southribble.gov.uk,E07000126
local-authority-eng:SSO,https://www.southsomerset.gov.uk,E07000189
local-authority-eng:SST,https://www.sstaffs.gov.uk,E07000196
local-authority-eng:STY,https://www.southtyneside.info,E08000023
local-authority-eng:STH,https://www.southampton.gov.uk,E06000045
local-authority-eng:SOS,https://www.southend.gov.uk,E06000033
local-authority-eng:SPE,https://www.spelthorne.gov.uk,E07000213
local-authority-eng:SAL,https://www.stalbans.gov.uk,E07000240
local-authority-eng:SED,https://www.stedmundsbury.gov.uk,E07000204
local-authority-eng:SHN,https://www.sthelens.gov.uk,E08000013
local-authority-eng:STA,https://www.staffordbc.gov.uk,E07000197
local-authority-eng:STS,https://www.staffordshire.gov.uk,
local-authority-eng:STF,https://www.staffsmoorlands.gov.uk,E07000198
local-authority-eng:STV,https://www.stevenage.gov.uk,E07000243
local-authority-eng:SKP,https://www.stockport.gov.uk,E08000007
local-authority-eng:STT,https://www.stockton.gov.uk,E06000004
local-authority-eng:STE,https://www.stoke.gov.uk,E07000195
local-authority-eng:STR,https://www.stratford.gov.uk,E07000221
local-authority-eng:STO,https://www.stroud.gov.uk,E07000082
local-authority-eng:SUF,https://www.suffolkcoastal.gov.uk,E07000205
local-authority-eng:SFK,https://www.suffolk.gov.uk,
local-authority-eng:SND,https://www.sunderland.gov.uk,E08000024
local-authority-eng:SRY,https://www.surreycc.gov.uk,
local-authority-eng:SUR,https://www.surreyheath.gov.uk,E07000214
local-authority-eng:SWL,https://www.swale.gov.uk,E07000113
local-authority-eng:SWD,https://www.swindon.gov.uk,E06000030
local-authority-eng:TAM,https://www.tameside.gov.uk,E08000008
local-authority-eng:TAW,https://www.tamworth.gov.uk,E07000199
local-authority-eng:TAN,https://www.tandridge.gov.uk,E07000215
local-authority-eng:TAU,https://www.tauntondeane.gov.uk,E07000190
local-authority-eng:TEI,https://www.teignbridge.gov.uk,E07000045
local-authority-eng:TFW,https://www.telford.gov.uk,E06000020
local-authority-eng:TEN,https://www.tendringdc.gov.uk,E07000076
local-authority-eng:TES,https://www.testvalley.gov.uk,E07000093
local-authority-eng:TEW,https://tewkesbury.gov.uk,E07000083
local-authority-eng:THA,https://thanet.gov.uk,E07000114
local-authority-eng:THE,https://www.threerivers.gov.uk,E07000102
local-authority-eng:THR,https://www.thurrock.gov.uk,E06000034
local-authority-eng:TON,https://www.tmbc.gov.uk,E07000115
local-authority-eng:TOB,https://www.torbay.gov.uk,E06000027
local-authority-eng:TOR,https://www.torridge.gov.uk,E07000046
local-authority-eng:TRF,https://www.trafford.gov.uk,E08000009
local-authority-eng:TUN,https://www.tunbridgewells.gov.uk,E07000116
local-authority-eng:UTT,https://www.uttlesford.gov.uk,E07000077
local-authority-eng:VAL,https://www.whitehorsedc.gov.uk,E07000180
local-authority-eng:WKF,https://www.wakefield.gov.uk,E08000036
local-authority-eng:WLL,https://www.walsall.gov.uk,E08000030
local-authority-eng:WRT,https://www.warrington.gov.uk,E06000007
local-authority-eng:WAW,https://www.warwickdc.gov.uk,E07000222
local-authority-eng:WAR,https://www.warwickshire.gov.uk,
local-authority-eng:WAT,https://www.watford.gov.uk,E07000103
local-authority-eng:WAV,https://www.waveney.gov.uk,E07000206
local-authority-eng:WAE,https://www.waverley.gov.uk,E07000216
local-authority-eng:WEA,https://www.wealden.gov.uk,E07000065
local-authority-eng:WEL,https://www.wellingborough.gov.uk,E07000156
local-authority-eng:WEW,https://www.welhat.gov.uk,E07000241
local-authority-eng:WBK,https://www.westberks.gov.uk,E06000037
local-authority-eng:WDE,https://www.westdevon.gov.uk,E06000026
local-authority-eng:WDO,https://www.dorsetforyou.com,E07000052
local-authority-eng:WLA,https://www.westlancs.gov.uk,E07000127
local-authority-eng:WLI,https://www.west-lindsey.gov.uk,E07000142
local-authority-eng:WOX,https://www.westoxon.gov.uk,E07000181
local-authority-eng:WSO,https://www.westsomersetonline.gov.uk,E07000191
local-authority-eng:WSX,https://www.westsussex.gov.uk,
local-authority-eng:WSM,https://www.westminster.gov.uk,E09000033
local-authority-eng:WEY,https://www.dorsetforyou.com,E07000053
local-authority-eng:WGN,https://www.wigan.gov.uk,E08000010
local-authority-eng:WIL,https://www.wiltshire.gov.uk,E06000054
local-authority-eng:WIN,https://www.winchester.gov.uk,E07000094
local-authority-eng:WRL,https://www.wirral.gov.uk,E08000015
local-authority-eng:WOI,https://www.woking.gov.uk,E07000217
local-authority-eng:WOK,https://www.wokingham.gov.uk,E06000041
local-authority-eng:WLV,https://www.wolverhampton.gov.uk,E08000031
local-authority-eng:WOC,https://www.worcester.gov.uk,E07000237
local-authority-eng:WOR,https://www.worcestershire.gov.uk,
local-authority-eng:WYC,https://www.wychavon.gov.uk,E07000238
local-authority-eng:WYO,https://www.wycombe.gov.uk,E07000007
local-authority-eng:WYR,https://www.wyre.gov.uk,E07000128
local-authority-eng:WYE,https://www.wyreforestdc.gov.uk,E07000239
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,